Type,Name,Local Time,Duration,Info
outgoing,IVR extension 100,2026-09-15 00:03:24,32,Call Ended
outgoing,IVR extension 100,2026-09-15 00:04:15,5,Call Ended
outgoing,IVR extension 100,2026-09-15 00:06:53,32,Call Ended
incoming,Anonymous caller,2026-09-15 00:16:14,30,Call Ended
outgoing,IVR extension 100,2026-09-15 00:18:44,32,Call Ended
outgoing,IVR extension 100,2026-09-15 00:21:14,32,Call Ended
outgoing,IVR extension 100,2026-09-15 00:22:43,32,Call Ended
outgoing,IVR extension 100,2026-09-15 00:28:50,32,Call Ended
outgoing,IVR extension 100,2026-09-15 00:31:06,32,Call Ended
outgoing,IVR extension 100,2026-09-15 00:34:43,32,Call Ended
outgoing,IVR extension 100,2026-09-15 00:35:49,32,Call Ended
outgoing,IVR extension 100,2026-09-15 13:30:30,15,Call Ended
outgoing,IVR extension 100,2026-09-15 13:30:50,15,Call Ended
outgoing,IVR extension 100,2026-09-15 13:31:16,13,Call Ended
outgoing,IVR extension 101,2026-09-15 22:51:44,0,Incorrect dialing or non-existent number.
outgoing,IVR extension 101,2026-09-15 22:55:36,32,Call Ended
outgoing,IVR extension 101,2026-09-15 22:57:36,32,Call Ended
outgoing,IVR extension 101,2026-09-15 22:59:09,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:06:22,22,Call Ended
outgoing,IVR extension 100,2026-09-15 23:08:11,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:10:54,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:28:45,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:33:15,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:38:36,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:48:16,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:53:08,32,Call Ended
outgoing,IVR extension 100,2026-09-15 23:58:34,32,Call Ended
outgoing,IVR extension 100,2026-09-16 13:31:42,29,Call Ended
outgoing,IVR extension 100,2026-09-16 13:32:43,32,Call Ended
outgoing,IVR extension 100,2026-09-17 10:33:14,32,Call Ended
outgoing,IVR extension 100,2026-09-17 10:43:01,22,Call Ended
outgoing,IVR extension 100,2026-09-17 10:43:26,32,Call Ended
outgoing,IVR extension 100,2026-09-17 10:45:49,32,Call Ended
outgoing,IVR extension 100,2026-09-17 10:48:36,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:00:51,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:03:46,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:05:28,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:08:39,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:10:12,16,Call Ended
outgoing,IVR extension 100,2026-09-17 11:10:39,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:11:59,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:13:51,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:18:37,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:19:55,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:21:22,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:26:23,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:28:37,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:30:13,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:31:36,32,Call Ended
outgoing,IVR extension 100,2026-09-17 11:33:29,32,Call Ended
